Designator,Mid X,Mid Y,Rotation,Layer
C1,51.891,42.9851,90.0,top
C2,49.149,40.386,180.0,top
C3,44.9072,29.7688,90.0,top
C4,56.5357,17.78,0.0,top
C5,44.9326,17.8308,180.0,top
C7,30.462,34.036,0.0,top
J1,32.5,52.5,270.0,bottom
R1,53.1368,33.8582,90.0,top
R2,53.4877,17.78,0.0,top
R3,31.25,35.433,0.0,top
R4,55.8038,29.7436,90.0,top
R5,48.0496,17.8308,180.0,top
U1,33.1216,5.9944,0.0,top
U2,38.354,39.243,90.0,top
U4,50.3936,29.8196,180.0,top
X1,49.022,42.672,180.0,top
